orf_id	ref dbname	EC	product	value
	KEGG_pep_2013		glycosyl transferase family 2	4.0

chlorophyllmax_130m_5061_0				
	EggNog_v3_2013_08_07		ccmC http://www.ncbi.nlm.nih.gov/protein/88657668 heme exporter protein CcmC identified similarity to SP:P33929 match family HMM PF01578 TIGR01191	14.0
	RefSeq_complete_nr_v62_dec2013		Cytochrome c-type biogenesis protein CcmC, putative heme lyase CcmE [Caenispirillum salinarum]	10.0
	seed-2014-01-30		Cytochrome c-type biogenesis protein CcmC, putative heme lyase CcmE [Wolbachia sp. endosymbiont Drosophila melanogaster]	13.0
	KEGG_pep_2013		ABC-type transport system involved cytochrome c biogenesis, permease component K02195 heme exporter protein C	13.0

chlorophyllmax_130m_5064_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/221632597 Protein unknown function (DUF1116) superfamily identified match to protein family HMM PF06545	12.0
	RefSeq_complete_nr_v62_dec2013		membrane protein [Lactobacillus buchneri]	3.0
	COG_2013-12-27		NULL # C Energy production conversion Function: Succinyl-CoA synthetase, alpha subunit Organism: Escherichia coli O157:H7 (Ecs)	16.0
	seed-2014-01-30		Putative cytoplasmic protein [Acetonema longum DSM 6540]	6.0

chlorophyllmax_130m_5064_1				
	RefSeq_complete_nr_v62_dec2013		, partial [Paenibacillus sp. Aloe-11]	5.0
	seed-2014-01-30		Protein fdrA [Paenibacillus alvei DSM 29]	6.0
	KEGG_pep_2013		fdrA putative FdrA	3.0

chlorophyllmax_130m_5065_0				
	RefSeq_complete_nr_v62_dec2013		putative enoyl-CoA isomerase [Ilumatobacter coccineus]	5.0

chlorophyllmax_130m_2874_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/196155819 RND family efflux transporter COG0841, AcrB, Cation/multidrug pump [Defense mechanisms]	11.0
	RefSeq_complete_nr_v62_dec2013		cation/multidrug efflux pump, Acr family [Desulfotignum phosphitoxidans]	7.0
	seed-2014-01-30		Acriflavin resistance protein [Alteromonas macleodii str. 'English Channel 673']	8.0
	KEGG_pep_2013		RND family efflux transporter	4.0

chlorophyllmax_130m_1526_0				
	EggNog_v3_2013_08_07		rnhB http://www.ncbi.nlm.nih.gov/protein/58584899 ribonuclease HII RNH2 RNase binds manganese endonuclease which specifically degrades RNA RNA-DNA hybrids	15.0
	RefSeq_complete_nr_v62_dec2013		ribonuclease HII [Clostridiales bacterium OBRC5-5]	5.0
	COG_2013-12-27		COG0164 # L Replication, recombination repair Function: Ribonuclease HII Organism: Streptococcus pyogenes M1 GAS (Spy)	15.0
	seed-2014-01-30	3.1.26.4	Ribonuclease HII (EC 3.1.26.4) [Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1519]	20.0
	KEGG_pep_2013	3.1.26.4	rnhB ribonuclease HII (EC:3.1.26.4) K03470 [EC:3.1.26.4]	16.0

chlorophyllmax_130m_1529_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/161528546  PFAM: protein unknown function DUF47 KEGG: DUF47	6.0
	RefSeq_complete_nr_v62_dec2013		phosphate transport regulator [Marine Group I thaumarchaeote SCGC AB-629-I23]	9.0
	seed-2014-01-30		Phosphate transport regulator (distant homolog PhoU) [Nitrosopumilus maritimus SCM1]	9.0
	KEGG_pep_2013		coiled coil protein K07220 	3.0

chlorophyllmax_130m_1839_0				
	EggNog_v3_2013_08_07		GKP08 http://www.ncbi.nlm.nih.gov/protein/56410445 type IIs modification methyltransferase	6.0
	RefSeq_complete_nr_v62_dec2013		putative type IIs modification methyltransferase [Geobacillus stearothermophilus]	7.0
	seed-2014-01-30	2.1.1.72	DNA adenine methylase (EC 2.1.1.72) [Rhodoferax ferrireducens DSM 15236]	19.0
	KEGG_pep_2013	2.1.1.72	type IIs modification methyltransferase K06223 DNA adenine methylase [EC:2.1.1.72]	19.0

chlorophyllmax_130m_4824_0				
	RefSeq_complete_nr_v62_dec2013		 [alpha proteobacterium SCGC AB-629-F11]	4.0

chlorophyllmax_130m_4824_1				
	RefSeq_complete_nr_v62_dec2013		Integral membrane protein DUF6 [Candidatus Pelagibacter sp. HTCC7211]	7.0
	seed-2014-01-30		Permease drug/metabolite transporter superfamily protein [SAR324 cluster bacterium SCGC AAA001-C10]	9.0

chlorophyllmax_130m_4829_0				
	RefSeq_complete_nr_v62_dec2013		GTP-binding proten HflX [Verrucomicrobiae bacterium DG1235]	6.0
	seed-2014-01-30		GTP-binding protein HflX [Verrucomicrobiae bacterium DG1235]	5.0

chlorophyllmax_130m_3604_0				
	EggNog_v3_2013_08_07		cbiA http://www.ncbi.nlm.nih.gov/protein/33863375 putative cobyrinic acid a,c-diamide synthase BELONGS TO THE SIRTUIN FAMILY Citation: Tsang Escalente-Semerena (1996) J. Bacteriol. 178:7016-7019	19.0
	RefSeq_complete_nr_v62_dec2013		cobyrinic acid a,c-diamide synthase [Synechococcus sp. WH 8102]	8.0
	seed-2014-01-30		Cobyrinic acid A,C-diamide synthase [Prochlorococcus marinus subsp. str. CCMP1375]	9.0
	metacyc-v5-2011-10-21	6.3.5.9	Putative Cobyrinic acid a,c-diamide synthase OS Prochlorococcus marinus (strain MIT 9303) GN cobB PE 4 SV 1 # UNIPROT A2C879 R341-RXN 6.3.5.9	32.0
	KEGG_pep_2013	6.3.5.9	cobB cobyrinic acid a,c-diamide synthase (EC:6.3.5.9) K02224 [EC:6.3.5.9 6.3.1.-]	19.0

chlorophyllmax_130m_3607_0				
	EggNog_v3_2013_08_07		RL0582 http://www.ncbi.nlm.nih.gov/protein/116250353 putative ATP-dependent helicase similarity:fasta (EMBL:ECD809) Escherichia coli. lhr Probable helicase lhr (EC 3.6.1.-) (Large helicase- related protein). length 1538 id 27.152 906 aa overlap query 5-825 subject 4-888 UniProt:Q92S82 (EMBL:SME591784) Rhizobium meliloti (Sinorhizobium meliloti). PUTATIVE ATP-DEPENDENT HELICASE PROTEIN 3.6.1.-). 849 82.718 839 1-835 4-842	44.0
	RefSeq_complete_nr_v62_dec2013		DEAD/DEAH box helicase domain-containing protein, partial [Acidiphilium sp. PM]	9.0
	COG_2013-12-27		COG1201 # R General function prediction only Function: Lhr-like helicases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	17.0
	seed-2014-01-30		FIG003033: Helicase domain protein [Bradyrhizobium japonicum USDA 6]	7.0
	KEGG_pep_2013		lhr ATP-dependent RNA/DNA helicase protein (EC:3.6.1.-) K03724 Lhr Lhr-like [EC:3.6.4.-]	9.0

chlorophyllmax_130m_4411_0				
	RefSeq_complete_nr_v62_dec2013		putative fatty-acid--CoA ligase [Ilumatobacter coccineus]	5.0
	seed-2014-01-30	6.2.1.3	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) [Mycobacterium rhodesiae NBB3]	17.0

chlorophyllmax_130m_2518_0				
	EggNog_v3_2013_08_07		PREDICTED:  [Strongylocentrotus purpuratus].	3.0

chlorophyllmax_130m_2517_0				
	EggNog_v3_2013_08_07		BRADO4115 http://www.ncbi.nlm.nih.gov/protein/146341044 putative haloacid dehalogenase-like hydrolase Evidence 3 : Function proposed based presence conserved amino acid motif, structural feature or limited homology Product type pe enzyme	25.0
	RefSeq_complete_nr_v62_dec2013		putative Haloacid dehalogenase-like hydrolase [Bradyrhizobium oligotrophicum]	6.0
	seed-2014-01-30		probable haloacid dehalogenase-like hydrolase STY3852 [Bradyrhizobium japonicum USDA 110]	9.0
	KEGG_pep_2013		putative haloacid dehalogenase-like hydrolase K07025 hydrolase HAD superfamily	7.0

chlorophyllmax_130m_5528_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/114797596 glutathione peroxidase family protein identified similarity to SP:P40581 match protein HMM PF00255	11.0
	RefSeq_complete_nr_v62_dec2013		phospholipid hydroperoxide glutathione peroxidase [Magnetospirillum sp. SO-1]	7.0
	seed-2014-01-30	1.11.1.9	Glutathione peroxidase (EC 1.11.1.9) [Acetobacter pasteurianus NBRC 101655]	18.0
	KEGG_pep_2013	1.11.1.9	glutathione peroxidase, putative (EC:1.11.1.9) K00432 peroxidase [EC:1.11.1.9]	17.0

chlorophyllmax_130m_5526_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/99082495 aldehyde dehydrogenase PFAM: dehydrogenase: (5e-136) KEGG: sil:SPO0235 dehydrogenase family protein, ev 0.0, 84% identity	14.0
	RefSeq_complete_nr_v62_dec2013		betaine aldehyde dehydrogenase BetB [Desulfotignum phosphitoxidans]	6.0
	COG_2013-12-27		COG1012 # C Energy production conversion Function: NAD-dependent aldehyde dehydrogenases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	17.0
	seed-2014-01-30	1.2.1.22	Aldehyde dehydrogenase B (EC 1.2.1.22) [Myroides injenensis M09-0166]	18.0
	metacyc-v5-2011-10-21	1.2.1.8	Alpha-aminoadipic semialdehyde dehydrogenase OS Rattus norvegicus GN Aldh7a1 PE 1 SV 2 # UNIPROT Q64057 BADH-RXN 1.2.1.8	27.0
	KEGG_pep_2013	1.2.1.3	aldehyde dehydrogenase, putative (EC:1.2.1.3) K14085 dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]	23.0

chlorophyllmax_130m_5520_0				
	RefSeq_complete_nr_v62_dec2013		, partial [SAR324 cluster bacterium JCVI-SC AAA005]	7.0
	seed-2014-01-30		Flagellar hook-length control protein FliK [SAR324 cluster bacterium JCVI-SC AAA005]	9.0

chlorophyllmax_130m_4218_0				
	EggNog_v3_2013_08_07		ahcY http://www.ncbi.nlm.nih.gov/protein/28872181 adenosylhomocysteinase identified match to PFAM protein family HMM PF00670	10.0
	RefSeq_complete_nr_v62_dec2013		adenosylhomocysteinase [Acinetobacter sp. NIPH 298]	5.0
	COG_2013-12-27		COG0499 # H Coenzyme transport metabolism Function: S-adenosylhomocysteine hydrolase Organism: Mycobacterium tuberculosis H37Rv (Mtu)	14.0
	seed-2014-01-30	3.3.1.1	Adenosylhomocysteinase (EC 3.3.1.1) [Pseudomonas syringae pv. actinidiae str. NCPPB 3739]	20.0
	metacyc-v5-2011-10-21	3.3.1.1	Adenosylhomocysteinase OS Pseudomonas putida (strain F1 / ATCC 700007) GN ahcY PE 3 SV 1 # UNIPROT A5WA09 ADENOSYLHOMOCYSTEINASE-RXN 3.3.1.1	30.0
	KEGG_pep_2013	3.3.1.1	similar to Adenosylhomocysteinase (AdoHcyase) (S-adenosyl-L-homocysteine hydrolase) (Protein dumpy-14) K01251 adenosylhomocysteinase [EC:3.3.1.1]	21.0

chlorophyllmax_130m_4218_1				
	EggNog_v3_2013_08_07		ahcY http://www.ncbi.nlm.nih.gov/protein/152983810 S-adenosyl-L-homocysteine hydrolase catalyzes formation L-homocysteine from	8.0
	RefSeq_complete_nr_v62_dec2013		adenosylhomocysteinase [SAR86 cluster bacterium SAR86E]	5.0
	COG_2013-12-27		COG0499 # H Coenzyme transport metabolism Function: S-adenosylhomocysteine hydrolase Organism: Brucella melitensis (Bme)	13.0
	seed-2014-01-30	3.3.1.1	Adenosylhomocysteinase (EC 3.3.1.1) [Pseudomonas aeruginosa 19BR]	16.0
	metacyc-v5-2011-10-21	3.3.1.1	Adenosylhomocysteinase OS Pseudomonas putida (strain F1 / ATCC 700007) GN ahcY PE 3 SV 1 # UNIPROT A5WA09 ADENOSYLHOMOCYSTEINASE-RXN 3.3.1.1	30.0
	KEGG_pep_2013	3.3.1.1	similar to S-adenosylhomocysteine hydrolase K01251 adenosylhomocysteinase [EC:3.3.1.1]	17.0

chlorophyllmax_130m_4218_2				
	EggNog_v3_2013_08_07		ahcY http://www.ncbi.nlm.nih.gov/protein/28872181 adenosylhomocysteinase identified match to PFAM protein family HMM PF00670	10.0
	RefSeq_complete_nr_v62_dec2013		S-adenosyl-L-homocysteine hydrolase [Pseudomonas sp. M1]	5.0
	COG_2013-12-27		COG0499 # H Coenzyme transport metabolism Function: S-adenosylhomocysteine hydrolase Organism: Pseudomonas aeruginosa (Pae)	13.0
	seed-2014-01-30	3.3.1.1	Adenosylhomocysteinase (EC 3.3.1.1) [Pseudomonas mendocina NK-01]	16.0
	metacyc-v5-2011-10-21	3.3.1.1	Adenosylhomocysteinase OS Pseudomonas putida (strain F1 / ATCC 700007) GN ahcY PE 3 SV 1 # UNIPROT A5WA09 ADENOSYLHOMOCYSTEINASE-RXN 3.3.1.1	30.0
	KEGG_pep_2013	3.3.1.1	ahcY S-adenosyl-L-homocysteine hydrolase (EC:3.3.1.1) K01251 adenosylhomocysteinase [EC:3.3.1.1]	17.0

chlorophyllmax_130m_4217_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/196158679 Glucosamine-fructose-6-phosphate aminotransferase COG0449, GlmS, Glucosamine 6-phosphate synthetase, contains amidotransferase phosphosugar isomerase domains [Cell envelope biogenesis, outer membrane]	18.0
	RefSeq_complete_nr_v62_dec2013		glucosamine--fructose-6-phosphate aminotransferase [Glaciecola agarilytica]	4.0
	COG_2013-12-27		COG0449 # M Cell wall/membrane/envelope biogenesis Function: Glucosamine 6-phosphate synthetase, contains amidotransferase phosphosugar isomerase domains Organism: Escherichia coli O157:H7 (Ecs)	20.0
	seed-2014-01-30	2.6.1.16	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) [Alteromonas macleodii str. 'English Channel 673']	21.0
	metacyc-v5-2011-10-21	2.6.1.16	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS Wigglesworthia glossinidia brevipalpis GN glmS PE 3 SV # UNIPROT Q8D3J0 L-GLN-FRUCT-6-P-AMINOTRANS-RXN 2.6.1.16	27.0
	KEGG_pep_2013	2.6.1.16	glutamine--fructose-6-phosphate transaminase (EC:2.6.1.16) K00820 glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	18.0

chlorophyllmax_130m_4215_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/99078144  PFAM: protein unknown function DUF1611: (1.9e-125) KEGG: sil:SPO3607 protein, ev 1e-158, 81% identity	13.0
	RefSeq_complete_nr_v62_dec2013		 [Nitratireductor indicus]	2.0
	COG_2013-12-27		COG3367 # S Function unknown Function: Uncharacterized conserved protein Organism: Sinorhizobium meliloti (Sme)	11.0
	seed-2014-01-30		Protein often near L-alanine-DL-glutamate epimerase (cell wall recycling) [Phaeobacter gallaeciensis ANG1]	11.0
	KEGG_pep_2013		EBNA-1 nuclear protein	2.0

chlorophyllmax_130m_4212_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/120553554 EmrB/QacA family drug resistance transporter TIGRFAM: transporter, subfamily PFAM: major facilitator superfamily KEGG:	14.0
	RefSeq_complete_nr_v62_dec2013		multidrug MFS transporter [Polymorphum gilvum]	5.0
	seed-2014-01-30		Multidrug resistance protein B [Marinobacter hydrocarbonoclasticus aquaeolei VT8]	7.0
	KEGG_pep_2013		EmrB/QacA family drug resistance transporter	5.0

chlorophyllmax_130m_5290_0				
	RefSeq_complete_nr_v62_dec2013		 [SAR324 cluster bacterium SCGC AAA240-J09]	5.0
	seed-2014-01-30	6.3.2.3	Glutathione synthetase (EC 6.3.2.3) [SAR324 cluster bacterium SCGC AAA240-J09]	19.0

chlorophyllmax_130m_5298_0				
	RefSeq_complete_nr_v62_dec2013		 [Zavarzinella formosa]	2.0
	seed-2014-01-30		 [Zavarzinella formosa DSM 19928]	4.0

chlorophyllmax_130m_5298_1				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/157375709  KEGG: protein	2.0
	RefSeq_complete_nr_v62_dec2013		 [Hydrogenophaga sp. PBC]	3.0
	seed-2014-01-30		 [Hydrogenophaga sp. PBC]	3.0

chlorophyllmax_130m_961_0				
	RefSeq_complete_nr_v62_dec2013		acyl-CoA thioesterase [Labrenzia sp. C1B10]	5.0
	seed-2014-01-30		Acyl-CoA thioesterase II (EC 3.1.2.-) [Labrenzia alexandrii DFL-11]	8.0

chlorophyllmax_130m_960_0				
	EggNog_v3_2013_08_07		fadF http://www.ncbi.nlm.nih.gov/protein/16080771 putative iron-sulphur-binding reductase Evidence 3: Function proposed based presence conserved amino acid motif, structural feature or limited homology PubMedId: 17189250 Product type pe : enzyme	26.0
	RefSeq_complete_nr_v62_dec2013		protein unknown function DUF224 cysteine-rich region domain [Fibrisoma limi]	8.0
	COG_2013-12-27		COG0247 # C Energy production conversion Function: Fe-S oxidoreductase Organism: Mycobacterium tuberculosis H37Rv (Mtu)	14.0
	seed-2014-01-30		Fe-S oxidoreductase [Brevibacillus laterosporus LMG 15441]	6.0
	KEGG_pep_2013		protein unknown function DUF224 cysteine-rich region domain	6.0

chlorophyllmax_130m_967_1				
	EggNog_v3_2013_08_07		JGI72628 JGI:JGI72628 http://genome.jgi-psf.org/cgi-bin/dispGeneModel?db Brafl1&id 72628 annotation not available	8.0
	RefSeq_complete_nr_v62_dec2013		CoA transferase [Geobacillus sp. G11MC16]	5.0
	seed-2014-01-30	2.8.3.16	L-carnitine dehydratase/bile acid-inducible protein F (EC 2.8.3.16) [Simiduia agarivorans SA1 DSM 21679]	21.0
	KEGG_pep_2013		formyl-coenzyme A transferase, putative	4.0

chlorophyllmax_130m_966_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/124025101 HEAT repeat-containing protein COG1413 FOG: repeat [Energy production conversion]	9.0
	RefSeq_complete_nr_v62_dec2013		PBS lyase [Prochlorococcus marinus]	4.0
	seed-2014-01-30		Bilin biosynthesis protein MpeU [Prochlorococcus marinus str. NATL2A]	7.0
	KEGG_pep_2013		heat repeat-containing PBS lyase K05384 bilin biosynthesis protein	7.0

chlorophyllmax_130m_966_1				
	EggNog_v3_2013_08_07		mpeX http://www.ncbi.nlm.nih.gov/protein/33239792 bilin biosynthesis protein PBS lyase MpeV/SpeZ subunit HEAT-repeats	9.0
	RefSeq_complete_nr_v62_dec2013		HEAT repeat-containing protein [Microcoleus sp. PCC 7113]	6.0
	seed-2014-01-30		Bilin biosynthesis protein MpeU [Prochlorococcus marinus subsp. str. CCMP1375]	8.0
	KEGG_pep_2013		mpeX bilin biosynthesis protein PBS lyase MpeV/SpeZ subunit K05384	8.0

chlorophyllmax_130m_787_1				
	RefSeq_complete_nr_v62_dec2013		radical SAM protein, partial [candidate division OP8 bacterium SCGC AAA252-A02]	10.0

chlorophyllmax_130m_780_0				
	RefSeq_complete_nr_v62_dec2013		phosphoglyceromutase, partial [SAR324 cluster bacterium JCVI-SC AAA005]	7.0
	seed-2014-01-30	5.4.2.1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1) [Mariprofundus ferrooxydans PV-1]	18.0

chlorophyllmax_130m_782_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/99079961 ABC transporter related PFAM: related: (8.6e-31) SMART: ATPase: (9.6e-09) KEGG: sil:SPO3290 branched-chain amino acid transporter, ATP-binding protein, ev 1e-140, 89% identity	22.0
	RefSeq_complete_nr_v62_dec2013		branched-chain amino acid ABC transporter ATP-binding protein [Oceaniovalibus guishaninsula]	8.0
	COG_2013-12-27		COG0410 # E Amino acid transport metabolism Function: ABC-type branched-chain amino systems, ATPase component Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	21.0
	seed-2014-01-30		Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1) [Tetrathiobacter kashmirensis WT001]	11.0
	KEGG_pep_2013		livF1 ABC branched amino acid transporter family, ATPase K01996 branched-chain transport system ATP-binding protein	13.0

chlorophyllmax_130m_3846_1				
	RefSeq_complete_nr_v62_dec2013		, partial [Verrucomicrobia bacterium SCGC AAA164-M04]	6.0
	seed-2014-01-30		-putative related to sulfatases [Verrucomicrobia bacterium SCGC AAA164-L15]	8.0

chlorophyllmax_130m_3845_0				
	RefSeq_complete_nr_v62_dec2013		 [actinobacterium SCGC AAA015-M09]	3.0

chlorophyllmax_130m_3845_1				
	RefSeq_complete_nr_v62_dec2013		 [actinobacterium SCGC AAA015-M09]	3.0

chlorophyllmax_130m_3843_0				
	EggNog_v3_2013_08_07		AcoB2 http://www.ncbi.nlm.nih.gov/protein/20807176 thiamine pyrophosphate-dependent dehydrogenase, E1 component beta subunit Best Blastp hit gi|13814759|gb|AAK41749.1| '(AE006767) Pyruvate subunit (lipoamide). (pdhB-2) [Sulfolobus solfataricus]', score 400, E-value 1.00E-110	23.0
	RefSeq_complete_nr_v62_dec2013		TPP-dependent acetoin dehydrogenase complex, E1 protein subunit beta [Streptococcus oralis]	9.0
	COG_2013-12-27		COG0022 # C Energy production conversion Function: Pyruvate/2-oxoglutarate dehydrogenase complex, (E1) component, eukaryotic type, beta subunit Organism: Streptococcus pneumoniae TIGR4 (Spn)	21.0
	seed-2014-01-30	1.2.4.4	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4) [Bacillus sp. JC63]	23.0
	metacyc-v5-2011-10-21	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS Schizosaccharomyces pombe (strain ATCC 38366 / 972) GN pdb1 PE 2 SV 1 # UNIPROT Q09171 RXN0-1134 SPOM-XXX-01:SPOM-XXX-01-004295-MONOMER 1.2.4.1	37.0
	KEGG_pep_2013	1.2.4.1	similar to E-1 beta subunit pyruvate dehydrogenase complex K00162 E1 component [EC:1.2.4.1]	22.0

chlorophyllmax_130m_3849_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/159899644 FAD linked oxidase domain-containing protein PFAM: protein unknown function DUF224 cysteine-rich region domain KEGG:	13.0
	RefSeq_complete_nr_v62_dec2013		putative D-lactate dehydrogenase (Cytochrome) [Streptomyces viridochromogenes]	6.0
	seed-2014-01-30		Fe-S protein, homolog lactate dehydrogenase SO1521 [Bradyrhizobium japonicum USDA 6]	10.0
	KEGG_pep_2013	1.1.2.4	FAD linked oxidase domain-containing protein (EC:1.1.2.4) K06911	16.0

chlorophyllmax_130m_3598_0				
	EggNog_v3_2013_08_07		gltB http://www.ncbi.nlm.nih.gov/protein/53803650 glutamate synthase, large subunit identified similarity to SP:P39812 match protein family HMM PF01493 PF01645 PF04897 PF04898	17.0
	RefSeq_complete_nr_v62_dec2013		glutamate synthase [Sphingomonas sp. LH128]	5.0
	COG_2013-12-27		COG0067 # E Amino acid transport metabolism Function: Glutamate synthase domain 1 Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	19.0
	seed-2014-01-30	1.4.1.13	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) [Brucella suis bv. 1 str. S2]	23.0
	KEGG_pep_2013	1.4.7.1	glutamate synthase (ferredoxin) (EC:1.4.7.1) K00265 (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	20.0

chlorophyllmax_130m_3593_0				
	RefSeq_complete_nr_v62_dec2013		ATP synthase subunit C [Methanobacterium sp. Maddingley MBC34]	8.0
	COG_2013-12-27		COG0636 # C Energy production conversion Function: F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, K Organism: Archaeoglobus fulgidus (Afu)	18.0
	KEGG_pep_2013	3.6.3.14	atpK A(1)A(0)-type ATP synthase, subunit K (EC:3.6.3.14) K02124 V-type H+-transporting ATPase [EC:3.6.3.14]	22.0

chlorophyllmax_130m_1835_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/89898852 restriction modification system DNA specificity subunit	7.0
	RefSeq_complete_nr_v62_dec2013		restriction modification system DNA specificity subunit [Albidiferax ferrireducens]	8.0
	seed-2014-01-30	3.1.21.3	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3) [Rhodoferax ferrireducens DSM 15236]	23.0
	KEGG_pep_2013	3.1.21.3	restriction modification system DNA specificity subunit K01154 type I enzyme, S subunit [EC:3.1.21.3]	22.0

chlorophyllmax_130m_1834_0				
	EggNog_v3_2013_08_07		FBpp0283586 ensembl.org:FBpp0283586 FBgn0079146 annotation not avaliable	6.0
	RefSeq_complete_nr_v62_dec2013		 [Burkholderia xenovorans]	2.0
	seed-2014-01-30		Predicted protein [Source:UniProtKB/TrEMBLAcc:B9N506] [Populus trichocarpa]	4.0
	KEGG_pep_2013		GL23896 gene product from transcript GL23896-RA	6.0

chlorophyllmax_130m_1831_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/217970435 cytochrome c prime PFAM: KEGG: azo:azo0341 putative c'	9.0
	RefSeq_complete_nr_v62_dec2013		class II cytochrome c [Albidiferax ferrireducens]	6.0
	seed-2014-01-30		cytochrome c, class II [Thauera sp. MZ1T]	7.0
	KEGG_pep_2013		class II cytochrome c	4.0

chlorophyllmax_130m_1831_1				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/89900247 	1.0
	RefSeq_complete_nr_v62_dec2013		 [Pseudomonas stutzeri]	2.0
	seed-2014-01-30		FIG00957491:  [Pseudomonas stutzeri ATCC 14405 CCUG 16156]	7.0

chlorophyllmax_130m_1830_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/121603555 threonine dehydratase deaminase Escherichia coli, IlvA part isoleucine biosynthetic pathway	11.0
