orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
below_euphotic_200m_3256_1					http://www.ncbi.nlm.nih.gov/protein/161528939 TatD-related deoxyribonuclease PFAM: KEGG: bce:BC0234 Sec-independent secretion TatD	9.0		 [Marine Group I thaumarchaeote SCGC AB-629-I23]	6.0					Putative deoxyribonuclease similar to YcfH, type 3 [Nitrosopumilus maritimus SCM1]	10.0					Mg-dependent DNase (EC:3.1.21.-) K03424 TatD family protein [EC:3.1.21.-]	7.0
below_euphotic_200m_3257_0					lepA http://www.ncbi.nlm.nih.gov/protein/86355906 GTP-binding protein LepA binds to ribosome universally-conserved alpha-sarcin loop	10.0		Translation elongation factor LepA [Sphingobium japonicum]	6.0		COG0481 # M Cell wall/membrane/envelope biogenesis Function: Membrane GTPase LepA Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	17.0		Translation elongation factor LepA [Bradyrhizobium japonicum USDA 6]	8.0					GUF1 GUF1 GTPase homolog (S. cerevisiae)	5.0
below_euphotic_200m_498_0								 [Candidatus Poribacteria sp. WGA-4E]	4.0												
below_euphotic_200m_499_0					http://www.ncbi.nlm.nih.gov/protein/161529071 diphthamide biosynthesis protein TIGRFAM: PFAM: Diphthamide synthesis DPH2 KEGG: mth:MTH1319 	10.0		diphthamide biosynthesis protein [Marine Group I thaumarchaeote SCGC AB-629-I23]	8.0					diptheria toxin resistance protein required diphthamide biosynthesis (Saccharomyces)-like 1 [Nitrosopumilus maritimus SCM1]	11.0					diphthamide biosynthesis protein K07561 synthase subunit DPH2	6.0
below_euphotic_200m_493_0					ST0363 http://www.ncbi.nlm.nih.gov/protein/15920565 putative DNA-binding/iron metalloprotein/AP endonuclease most organisms, only N-terminal domain present single polypeptide some archaea this fused to kinase domain gene essential growth Escherichia coli Bacillus subtilis secreted glycoprotease from Pasteurella haemolytica showed specificity O-sialoglycosylated proteins Pyrococcus structure shows DNA-binding properties, iron-binding, ATP-binding, AP endonuclease activity	45.0		Peptidase M22, glycoprotease [Thermoplasmatales archaeon SCGC AB-540-F20]	7.0		COG0533 # O Posttranslational modification, protein turnover, chaperones Function: Metal-dependent proteases possible chaperone activity Organism: Methanopyrus kandleri AV19 (Mka)	18.0		TsaD/Kae1/Qri7 protein, required threonylcarbamoyladenosine t(6)A37 formation tRNA / p53-regulating protein kinase (human PRPK/yeast YGR262c) [Methanothermobacter thermautotrophicus str. Delta H]	18.0				3.4.24.57	O-sialoglycoprotein endopeptidase, putative (EC:3.4.24.57) K01409 endopeptidase [EC:3.4.24.57]	17.0
below_euphotic_200m_490_1													1.14.11.17	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) [Reyranella massiliensis 521]	18.0						
below_euphotic_200m_496_0								 [Novispirillum itersonii]	2.0												
below_euphotic_200m_496_1					metG http://www.ncbi.nlm.nih.gov/protein/15892969 methionyl-tRNA synthetase methionine--tRNA ligase MetRS adds methionine to tRNA(Met) cleavage ATP AMP diphosphate some MetRS enzymes form dimers depending C-terminal domain that also found other proteins such as Trbp111 Aquifex aeolicus cold-shock protein CsaA from Bacillus subtilis while others do not four subfamilies exist based sequence motifs zinc content	49.0		methionyl-tRNA synthetase [alpha proteobacterium HIMB59]	5.0		COG0143 # J Translation, ribosomal structure biogenesis Function: Methionyl-tRNA synthetase Organism: Bacillus halodurans (Bha)	14.0	6.1.1.10	Methionyl-tRNA synthetase (EC 6.1.1.10) [Rickettsia typhi str. B9991CWPP]	18.0	6.1.1.10	Methionyl-tRNA synthetase OS Thermus thermophilus (strain HB8 / ATCC 27634 DSM 579) GN metG PE 1 SV 2 # UNIPROT P23395 METHIONINE--TRNA-LIGASE-RXN TTHE300852:TTHA1298-MONOMER 6.1.1.10	34.0	6.1.1.10	methionyl-tRNA synthetase (EC:6.1.1.10) K01874 [EC:6.1.1.10]	15.0
below_euphotic_200m_497_0								phosphoglycerol transferase I [SAR324 cluster bacterium JCVI-SC AAA005]	8.0					sulfatase family protein [SAR324 cluster bacterium JCVI-SC AAA005]	7.0						
below_euphotic_200m_494_0								 [SAR202 cluster bacterium SCGC AAA240-N13]	5.0												
below_euphotic_200m_494_1								 [SAR202 cluster bacterium SCGC AAA240-N13]	5.0												
below_euphotic_200m_495_0					http://www.ncbi.nlm.nih.gov/protein/217966623 peptidase U62 modulator DNA gyrase PFAM: KEGG: TldD/PmbA family protein	10.0		peptidase U62 [Catenulispora acidiphila]	4.0					TldD family protein, Actinobacterial subgroup [Catenulispora acidiphila DSM 44928]	9.0					peptidase U62 modulator DNA gyrase K03568 TldD protein	7.0
below_euphotic_200m_3595_0					http://www.ncbi.nlm.nih.gov/protein/158320866 GTP-binding protein TypA TIGRFAM: small protein PFAM: elongation factor G domain synthesis GTP-binding Tu 2 KEGG: TypA	14.0		GTP-binding protein TypA/BipA [Xenococcus sp. PCC 7305]	6.0		COG1217 # T Signal transduction mechanisms Function: Predicted membrane GTPase involved stress response Organism: Staphylococcus aureus N315 (Sau)	18.0		GTP-binding protein TypA/BipA [Xenococcus sp. PCC 7305]	6.0					GBA1 GTP binding protein TypA K06207 GTP-binding	6.0
below_euphotic_200m_3594_1					clpP http://www.ncbi.nlm.nih.gov/protein/159185132 ATP-dependent Clp protease proteolytic subunit hydrolyzes proteins to small peptides ATPase subunits ClpA or ClpX, ClpP degrades specific substrates	21.0		ATP-dependent Clp protease ClpP [Rhizobium sp. CCGE 510]	8.0		COG0740 # OU Function: Protease subunit ATP-dependent Clp proteases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	16.0	3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) [Listeria monocytogenes str. Scott A]	22.0				3.4.21.92	clpP2 ATP-dependent Clp protease proteolytic subunit (EC:3.4.21.-) K01358 protease, [EC:3.4.21.92]	20.0
below_euphotic_200m_3596_0					rho http://www.ncbi.nlm.nih.gov/protein/145220341 transcription termination factor Rho An RNA-DNA helicase that actively releases nascent mRNAs from paused complexes	17.0		H+-transporting two-sector ATPase, alpha/beta subunit, central region, partial [delta proteobacterium MLMS-1]	11.0		COG1158 # K Transcription Function: termination factor Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	14.0		Transcription termination factor Rho [Chlamydophila psittaci 08DC60]	7.0					transcription termination factor Rho K03628 Rho	5.0
below_euphotic_200m_3596_1								 [SAR406 cluster bacterium SCGC AB-629-J13]	5.0												
below_euphotic_200m_3590_0					SPO3292 http://www.ncbi.nlm.nih.gov/protein/56698116 branched-chain amino acid ABC transporter, permease protein Assignment partly based membership transporter gene cluster. identified match to protein family HMM PF02653	21.0		putative branched-chain amino acid ABC transporter, permease protein [Janthinobacterium sp. HH01]	10.0					Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1) [Chelatococcus sp. GW1]	12.0					livM high-affinity branched-chain amino acid transport system permease LivM K01998 protein	10.0
below_euphotic_200m_3593_1								LSU ribosomal protein L2P [Archaeoglobus sulfaticallidus]	5.0												
below_euphotic_200m_3592_1					ahcY http://www.ncbi.nlm.nih.gov/protein/225849353 adenosylhomocysteinase identified match to protein family HMM PF00670 PF02826 PF05221 TIGR00936	12.0		S-adenosyl-L-homocysteine hydrolase, partial [Hydrogenivirga sp. 128-5-R1-1]	6.0		COG0499 # H Coenzyme transport metabolism Function: S-adenosylhomocysteine hydrolase Organism: Nostoc sp. PCC 7120 (Nos)	15.0	3.3.1.1	Adenosylhomocysteinase (EC 3.3.1.1) [endosymbiont Tevnia jerichonana (vent Tica)]	18.0	3.3.1.1	Adenosylhomocysteinase OS Pyrobaculum aerophilum (strain ATCC 51768 / IM2 DSM 7523 JCM 9630 NBRC 100827) GN ahcY PE 3 SV 1 # UNIPROT Q8ZTQ7 ADENOSYLHOMOCYSTEINASE-RXN PAER178306:PAE3140-MONOMER 3.3.1.1	37.0	3.3.1.1	S-adenosyl-L-homocysteine hydrolase (EC:3.3.1.1) K01251 adenosylhomocysteinase [EC:3.3.1.1]	16.0
below_euphotic_200m_730_0					http://www.ncbi.nlm.nih.gov/protein/108805474 oxidoreductase, molybdopterin binding protein PFAM: binding KEGG: probable oxidoreductase protein	8.0		sulfite oxidase [Oceanibaculum indicum]	4.0		COG2041 # R General function prediction only Function: Sulfite oxidase related enzymes Organism: Nostoc sp. PCC 7120 (Nos)	18.0		sulfite oxidase homolog [Nostoc sp. PCC 7120]	7.0					oxidoreductase molybdopterin binding domain protein K07147	5.0
below_euphotic_200m_2972_0					manC http://www.ncbi.nlm.nih.gov/protein/123968931 mannose-1-phosphate guanylyltransferase COG836 Mannose-1-phosphate guanylyltransferase [Cell envelope biogenesis, outer membrane]	11.0		phosphomannose isomerase / GDP-mannose pyrophosphorylase [Xanthomonas translucens]	7.0				2.7.7.22	Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22) / Mannose-6-phosphate isomerase 5.3.1.8) [Synechococcus sp. CC9605]	22.0	2.7.7.13	Mannose-1-phosphate guanylyltransferase rfbM OS Salmonella typhimurium GN PE 1 SV # UNIPROT P26404 2.7.7.13-RXN STYP99287:STM2084-MONOMER 2.7.7.13	26.0	2.7.7.22	manC mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase K00971 guanylyltransferase [EC:2.7.7.22] K01809 mannose-6-phosphate isomerase [EC:5.3.1.8]	20.0
below_euphotic_200m_2973_0					BRADO6787 http://www.ncbi.nlm.nih.gov/protein/146343550 putative short-chain dehydrogenase/reductase (SDR) Evidence 3 : Function proposed based presence conserved amino acid motif, structural feature or limited homology PubMedId 7742302, 1889416, 6789320 Product type e enzyme	29.0		short-chain dehydrogenase/reductase SDR, partial [Sphingomonas sp. PAMC 26605]	8.0		COG1028 # IQR Function: Dehydrogenases different specificities (related to short-chain alcohol dehydrogenases) Organism: Caulobacter vibrioides (Ccr)	16.0	1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125) [Sphingomonas echinoides ATCC 14820]	18.0				1.1.1.100	short-chain dehydrogenase, putative (EC:1.1.1.100)	14.0
below_euphotic_200m_2974_0					MCA2779 http://www.ncbi.nlm.nih.gov/protein/53803070 multidrug resistance protein identified similarity to GP:12024949 match protein family HMM PF00893	12.0		Quaternary ammonium compound-resistance protein qacE [Natrinema altunense]	6.0		COG2076 # P Inorganic ion transport metabolism Function: Membrane transporters cations cationic drugs Organism: Escherichia coli O157:H7 (Ecs)	18.0		Ethidium bromide-methyl viologen resistance protein EmrE [Photobacterium leiognathi subsp. mandapamensis svers.1.1.]	10.0					qacE2 quaternary ammonium compound resistance protein K03297 small multidrug protein, SMR family	11.0
below_euphotic_200m_2975_0								oligoendopeptidase F [Microbulbifer agarilyticus]	4.0					Oligoendopeptidase F [Alteromonas sp. S89]	5.0						
below_euphotic_200m_2976_0					http://www.ncbi.nlm.nih.gov/protein/84622527 TonB-dependent receptor identified sequence similarity putative ORF located using Blastx/Glimmer/GeneHacker	11.0		TonB-dependent outer membrane receptor precursor [Xanthomonas translucens]	7.0					TonB-dependent receptor [Xanthomonas translucens pv. graminis ART-Xtg29]	7.0					putative TonB dependent receptor protein K02014 iron complex outermembrane recepter protein	9.0
below_euphotic_200m_2977_0					http://www.ncbi.nlm.nih.gov/protein/189346991 inosine-5'-monophosphate dehydrogenase KEGG: TIGRFAM: PFAM: CBS domain containing protein IMP dehydrogenase/GMP reductase	12.0		inosine-5'-monophosphate dehydrogenase [Magnetospirillum sp. SO-1]	5.0		COG0516 # F Nucleotide transport metabolism Function: IMP dehydrogenase/GMP reductase Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	17.0	1.1.1.205	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain [Oligotropha carboxidovorans OM4]	20.0	1.1.1.205	Inosine-5'-monophosphate dehydrogenase OS Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 JAL-1 JCM 10045 NBRC 100440) GN guaB PE 3 SV 1 # UNIPROT Q59011 IMP-DEHYDROG-RXN 1.1.1.205	37.0	1.1.1.205	inosine-5'-monophosphate dehydrogenase (EC:1.1.1.205) K00088 IMP [EC:1.1.1.205]	16.0
below_euphotic_200m_2979_0		probable 3-deoxy-d-manno-octulosonic-acid transferase protein [Xanthomonas albilineans GPE PC73] (GT:30)	8.0		kdtA http://www.ncbi.nlm.nih.gov/protein/190575776 3-deoxy-D-manno-octulosonic-acid transferase catalyzes transfer 2-keto-3-deoxy-D-manno-octulosonic acid to lipid A	11.0		3-deoxy-D-manno-octulosonic acid transferase [Stenotrophomonas maltophilia]	5.0				2.4.99.12	Lipid IVA 3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12) [often 2.4.99.13) also] [Xanthomonas sacchari NCPPB 4393]	24.0					waaA 3-deoxy-D-manno-octulosonic-acid transferase K02527 transferase [EC:2.-.-.-]	5.0
below_euphotic_200m_281_0					http://www.ncbi.nlm.nih.gov/protein/196155743 	1.0		membrane protein [Cycloclasticus pugetii]	3.0					 [Alteromonas macleodii str. 'English Channel 673']	6.0			
below_euphotic_200m_41_1				1.1.1.53	fabG3 http://www.ncbi.nlm.nih.gov/protein/31793182 20-beta-hydroxysteroid dehydrogenase Mb2025, fabG3, len: 260 aa. Equivalent to Rv2002, aa, from Mycobacterium tuberculosis strain H37Rv, (100.0% identity aa overlap). Possible dehydrogenase (EC 1.1.1.53), similar e.g. (255 aa), FASTA scores: opt: 718, E(): 2e-38, (49.8% 243 overlap), many mycobacterial proteins. Contains PS00061 Short-chain alcohol family signature. BELONGS TO THE SHORT-CHAIN DEHYDROGENASES/REDUCTASES (SDR) FAMILY.	64.0		Short-chain dehydrogenase/reductase SDR [Thauera sp. 63]	6.0		COG1028 # IQR Function: Dehydrogenases different specificities (related to short-chain alcohol dehydrogenases) Organism: Mycobacterium tuberculosis H37Rv (Mtu)	17.0	1.1.1.53	3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53) [Mycobacterium avium subsp. paratuberculosis CLIJ623]	20.0				1.1.1.53	short-chain dehydrogenase/reductase SDR (EC:1.1.1.53) K00038 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	19.0
below_euphotic_200m_42_0					http://www.ncbi.nlm.nih.gov/protein/108758337 non-ribosomal peptide synthetase identified similarity to GB:BAC67535.1 match protein family HMM PF00501 PF00550 PF00668 PF00975 TIGR01733	16.0		amino acid adenylation enzyme/thioester reductase family protein [Leptolyngbya sp. PCC 6406]	10.0		COG1020 # Q Secondary metabolites biosynthesis, transport catabolism Function: Non-ribosomal peptide synthetase modules related proteins Organism: Nostoc sp. PCC 7120 (Nos)	21.0	6.2.1.3	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) [Corallococcus coralloides DSM 2259]	18.0					non-ribosomal peptide synthetase	3.0
below_euphotic_200m_43_0					dgoA2 http://www.ncbi.nlm.nih.gov/protein/55379612 mandelate racemase/muconate lactonizing enzyme family protein	7.0		mandelate racemase/muconate lactonizing enzyme family protein [Halococcus saccharolyticus]	7.0				4.1.2.21	2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (2- oxo-3-deoxygalactonate 6-phosphate / Galactonate dehydratase 4.2.1.6) [Haloarcula marismortui ATCC 43049]	27.0					dgoA2 mandelate racemase/muconate lactonizing enzyme family protein	6.0
below_euphotic_200m_44_0					PAB1172 http://www.ncbi.nlm.nih.gov/protein/14521976 glycine dehydrogenase subunit 2 acts conjunction GvcH to form H-protein-S-aminomethyldihydrolipoyllysine from glycine forms heterodimer 1 P protein	17.0		Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) [Nitrosospira sp. APG3]	11.0		COG1003 # E Amino acid transport metabolism Function: Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain Organism: Thermoplasma volcanium (Tvo)	19.0	1.4.4.2	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2) [endosymbiont Tevnia jerichonana (vent Tica)]	25.0	1.4.4.2	Probable glycine dehydrogenase [decarboxylating] subunit 2 OS Halobacterium salinarium (strain ATCC 700922 / JCM 11081 NRC-1) GN gcvPB PE 3 SV 1 # UNIPROT Q9HPK0 GCVP-RXN HSP64091:VNG1601G-MONOMER 1.4.4.2	38.0	1.4.4.2	glycine dehydrogenase (EC:1.4.4.2) K00281 [EC:1.4.4.2]	15.0
below_euphotic_200m_46_0					http://www.ncbi.nlm.nih.gov/protein/186682771 amino acid adenylation domain-containing protein TIGRFAM: domain PFAM: AMP-dependent synthetase ligase Thioesterase condensation domain phosphopantetheine-binding KEGG: non-ribosomal peptide synthase	18.0		Non-ribosomal peptide synthase, partial [Cyanothece sp. CCY0110]	7.0				6.2.1.3	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) [Cyanothece sp CCY 0110]	18.0				6.3.2.26	non-ribosomal peptide synthase (EC:6.3.2.26 2.3.1.38)	15.0
below_euphotic_200m_48_0					thrC1 http://www.ncbi.nlm.nih.gov/protein/206890757 threonine synthase identified match to protein family HMM PF00291 TIGR00260	11.0		L-threonine synthase [Oscillatoriales cyanobacterium JSC-12]	5.0		COG0498 # E Amino acid transport metabolism Function: Threonine synthase Organism: Aquifex aeolicus (Aae)	14.0	4.2.3.1	Threonine synthase (EC 4.2.3.1) [Fischerella sp. PCC 9339]	18.0				4.2.3.1	thrC1 threonine synthase (EC:4.2.3.1) K01733 [EC:4.2.3.1]	16.0
below_euphotic_200m_285_0								quinohemoprotein ethanol dehydrogenase [Planctomyces maris]	5.0					probable quinohemoprotein ethanol dehydrogenase [Planctomyces limnophilus DSM 3776]	8.0					pyrrolo-quinoline quinone repeat-containing protein	3.0
below_euphotic_200m_284_0								syringomycin synthetase [Pseudoalteromonas flavipulchra]	4.0					arthrofactin synthetase/syringopeptin synthetase C-related non-ribosomal peptide module [Pseudoalteromonas flavipulchra JG1]	10.0						
below_euphotic_200m_4516_0					http://www.ncbi.nlm.nih.gov/protein/126696577 ABC transporter, substrate binding protein, phosphate COG226 ABC-type phosphate transport system, periplasmic component [Inorganic ion metabolism]	16.0		phosphate ABC transporter substrate-binding protein [Synechococcus sp. WH 8102]	8.0					Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1) [Prochlorococcus marinus str. MIT 9515]	13.0					ABC transporter, substrate binding protein, phosphate K02040 phosphate transport system substrate-binding protein	10.0
below_euphotic_200m_4516_1														DUF680 domain-containing protein [Prochlorococcus phage P-RSM4.]	5.0						
below_euphotic_200m_4517_1					SPO1578 http://www.ncbi.nlm.nih.gov/protein/56696462 ammonium transporter family protein identified match to protein HMM PF00909	10.0		ammonium transporter family protein, partial [Rhodobacteraceae bacterium HTCC2150]	8.0					Ammonium transporter [Fulvimarina pelagi HTCC2506]	5.0				4.6.1.2	ammonium transporter family protein (EC:4.6.1.2)	14.0
below_euphotic_200m_4519_0					PREDICTED: similar to ankyrin 2,3/unc44, partial [Strongylocentrotus purpuratus].	8.0														similar to ankyrin 2,3/unc44	4.0
below_euphotic_200m_1054_0														permease protein, putative [Dehalogenimonas lykanthroporepellens BL-DC-9]	6.0						
